recongized_word confidence
even 0.999999484421
become 1.0
also 1.0
around 1.0
problem 1.0
enough 0.999999896615
over 0.99999999996
over 0.999999942141
never 0.999999997993
always 0.950316258262
allow 1.0
along 0.998045359457
always 1.0
many 0.999999993529
always 1.0
only 0.999999998751
never 1.0
nothing 0.999999999587
always 0.999999999995
after 0.997617366838
problem 1.0
brother 0.999995314367
problem 1.0
over 1.0
morning 1.0
carry 1.0
around 0.999997804624
eating 1.0
brother 0.999999999972
another 1.0
about 1.0
water 1.0
often 1.0
nothing 1.0
enough 1.0
many 0.999982586349
system 1.0
extra 1.0
every 0.999999999505
several 1.0
morning 1.0
oily 1.0
dinner 1.0
forces 1.0
study 1.0
always 0.979115087666
over 0.666528089675
before 1.0
people 0.999999993485
carry 1.0
only 1.0
even 1.0
away 0.999473709351
over 0.999323442727
without 0.999996456371
water 1.0
carry 1.0
oily 1.0
over 0.999883855083
along 0.999876155862
many 1.0
before 1.0
before 1.0
shellfish 1.0
forces 1.0
money 0.999999968246
people 0.999998989294
greasy 1.0
before 1.0
even 1.0
very 1.0
people 0.949317442046
government 1.0
problem 1.0
government 1.0
also 1.0
every 0.998384771203
away 1.0
also 1.0
dinner 1.0
every 0.999560801206
dinner 1.0
greasy 1.0
water 1.0
carry 1.0
extra 1.0
morning 1.0
about 1.0
about 0.959118004848
people 0.999999999835
children 1.0
become 1.0
also 1.0
never 1.0
also 1.0
into 0.999994463407
only 0.999997198685
over 0.999999990741
many 1.0
about 0.999999631505
brother 1.0
about 1.0
children 1.0
many 0.999947466243
into 1.0
another 0.986688705879
away 0.999064849986
allow 0.999999492711
into 0.999141817661
only 1.0
allow 0.999999980123
without 0.999970691102
another 0.99999996571
money 0.626318035116
problem 1.0
often 1.0
about 1.0
into 0.999999999998
nothing 1.0
water 1.0
only 1.0
children 0.912706763061
after 0.999999999541
always 1.0
never 1.0
about 1.0
along 0.99999999998
order 0.624189987193
never 1.0
allow 0.999999763875
very 0.999999999844
carry 0.999999999999
away 1.0
many 1.0
sometimes 1.0
table 1.0
become 1.0
about 1.0
system 0.999999333992
after 1.0
around 1.0
before 1.0
before 1.0
even 1.0
always 1.0
oily 1.0
carry 0.999999999999
oily 0.803276871004
greasy 1.0
eating 1.0
into 1.0
every 0.99999983593
several 1.0
shellfish 1.0
over 0.999993565638
even 0.604939285059
several 0.999996455059
every 0.776205780288
about 1.0
without 1.0
water 1.0
never 1.0
water 0.857618654908
allow 0.999999999999
carry 0.973399301025
open 0.999999977635
about 1.0
only 0.999999999832
enough 1.0
every 1.0
brother 1.0
enough 0.999996350203
water 1.0
often 0.999999991672
system 1.0
every 0.999973466108
extra 1.0
only 0.999999998514
into 1.0
even 0.999999991565
nothing 0.999999999989
along 1.0
many 1.0
into 1.0
morning 0.999992396101
often 0.999999999822
table 1.0
every 0.999782036768
only 0.99999999998
another 0.999825953866
often 0.999999999707
carry 1.0
open 0.879180227218
shellfish 1.0
brother 0.708593142295
order 0.851925395224
become 1.0
allow 1.0
never 1.0
never 1.0
greasy 1.0
oily 1.0
money 1.0
greasy 1.0
often 0.99999677729
water 1.0
government 1.0
many 0.99999993383
water 1.0
water 1.0
never 1.0
enough 1.0
oily 1.0
many 0.992484453797
greasy 1.0
eating 1.0
after 1.0
often 0.999984212975
greasy 1.0
system 1.0
enough 0.999967083564
water 1.0
after 1.0
every 0.934223439311
very 0.999983875751
many 1.0
sometimes 1.0
enjoy 0.999999054988
sometimes 1.0
shellfish 1.0
system 1.0
only 0.999999747316
enjoy 0.999982170359
another 0.999360104412
several 1.0
into 0.999999999996
over 0.999803595213
after 1.0
very 0.999973869098
morning 1.0
another 1.0
allow 0.999999999918
around 0.999999999841
water 0.999999999757
many 1.0
often 0.999999998298
very 0.979298611715
away 0.9999994583
away 0.999086254847
eating 1.0
brother 1.0
sometimes 1.0
greasy 1.0
enough 1.0
open 0.999864965304
table 0.999999828372
never 1.0
over 0.998358200565
often 0.99687786534
enjoy 1.0
often 1.0
before 1.0
oily 1.0
another 0.999999999876
children 1.0
without 0.999965169176
every 0.999999585528
always 1.0
forces 1.0
greasy 1.0
government 1.0
every 0.99995709907
never 1.0
also 1.0
problem 1.0
often 0.999999999992
problem 1.0
about 1.0
many 1.0
dinner 1.0
several 1.0
always 1.0
people 1.0
study 1.0
after 1.0
about 0.999999974195
after 0.999999855931
along 0.999999321662
very 0.999999999953
children 1.0
nothing 0.885394880098
dinner 0.999999999931
often 0.999999999965
enough 1.0
greasy 1.0
along 1.0
order 0.999982496813
every 0.999999999997
children 1.0
very 0.966800540163
oily 1.0
enjoy 1.0
always 1.0
before 1.0
morning 1.0
open 0.999999929551
allow 1.0
water 1.0
table 1.0
over 0.999999996224
money 0.666882258669
sometimes 0.999999919877
many 1.0
oily 1.0
never 0.773249558886
enough 0.999999998303
people 0.999855602234
over 0.998341557468
enough 1.0
only 1.0
carry 1.0
morning 0.99880829392
always 1.0
extra 1.0
government 1.0
into 0.999999999548
without 0.955035515988
water 0.999999999977
carry 1.0
nothing 1.0
before 1.0
every 1.0
allow 0.999999999927
along 0.919782696767
open 0.999999971723
before 1.0
every 0.99999999304
without 1.0
over 0.99999977649
away 0.999999999889
forces 1.0
after 0.999999995862
very 0.998876705603
allow 1.0
every 0.998417236286
table 1.0
many 0.999999999561
children 1.0
allow 1.0
never 0.951239685152
every 0.831115004055
forces 1.0
after 1.0
only 1.0
before 0.522374053588
away 1.0
always 1.0
children 0.999984851736
system 1.0
children 1.0
every 0.999600949254
carry 1.0
morning 0.801395552811
oily 1.0
often 0.999709570028
only 1.0
often 0.99999955279
many 1.0
also 1.0
allow 0.999999999991
children 1.0
also 1.0
only 0.999999999953
into 1.0
every 0.999637830528
without 1.0
money 0.808590168317
people 0.999999577465
eating 1.0
into 1.0
never 1.0
without 0.999999998058
carry 0.99948459673
away 0.999999999962
system 1.0
enjoy 1.0
other 0.99994411139
after 0.891219275465
before 1.0
enjoy 1.0
shellfish 1.0
after 0.999943095401
greasy 1.0
