recongized_word confidence
even 1.0
carry 1.0
sometimes 1.0
around 1.0
problem 1.0
nothing 0.99992109544
over 0.999999960852
after 0.997289509538
never 1.0
always 0.99999999998
along 0.935999140714
along 0.613458212209
always 1.0
money 0.83531789411
always 1.0
only 0.753650449197
never 1.0
nothing 1.0
always 0.925324724152
another 0.999999999995
problem 1.0
system 0.999999996116
problem 1.0
after 0.998438232585
morning 1.0
carry 1.0
around 1.0
eating 0.987850974868
brother 1.0
nothing 0.999999982013
about 1.0
water 1.0
often 1.0
nothing 1.0
enough 1.0
very 0.999997097306
system 1.0
extra 1.0
every 1.0
several 1.0
morning 1.0
oily 1.0
dinner 1.0
forces 1.0
study 0.999986093322
forces 1.0
another 0.975764444942
before 1.0
people 0.99999999956
carry 1.0
only 1.0
even 1.0
only 1.0
allow 0.996024275964
never 0.785379754984
water 1.0
carry 1.0
oily 1.0
morning 0.998366733787
along 0.999990286191
many 1.0
before 1.0
before 1.0
shellfish 1.0
forces 1.0
money 1.0
people 1.0
greasy 1.0
before 1.0
even 1.0
very 1.0
people 1.0
government 1.0
sometimes 1.0
government 0.999999900461
also 1.0
every 0.999913849519
away 1.0
also 1.0
another 0.999997672517
very 0.999999983875
dinner 1.0
greasy 1.0
water 1.0
carry 1.0
extra 1.0
morning 1.0
about 1.0
every 1.0
people 0.999999311515
shellfish 1.0
become 1.0
also 1.0
never 1.0
also 1.0
very 1.0
only 0.925255510763
often 0.999999831063
many 1.0
become 0.997055632843
brother 0.99999972895
about 0.999999999822
children 1.0
many 0.99999984331
into 1.0
another 0.999999999383
away 0.999999999999
allow 1.0
into 0.999999996378
only 1.0
allow 0.999999848245
about 1.0
other 1.0
money 1.0
problem 1.0
around 0.943204769289
about 1.0
into 0.999869548387
system 1.0
water 1.0
only 0.999999999998
every 1.0
after 1.0
always 1.0
never 1.0
become 1.0
along 1.0
over 0.975032246513
never 1.0
allow 1.0
very 0.999997360808
carry 1.0
away 1.0
many 0.999999660064
sometimes 1.0
table 1.0
become 1.0
about 1.0
system 1.0
after 1.0
around 1.0
